unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{404A5AF3-AED5-CD2B-E050-A8C063055C7B},189950,2016-09-06 00:00,LE13 1JN,S,N,F,12,"",BALMORAL ROAD,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{2FD36065-BA6F-4BF8-E050-A8C0620562B1},125000,2016-02-12 00:00,LE11 5DX,T,N,F,10,"",ROSEBERY STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{404A5AF3-ACF3-CD2B-E050-A8C063055C7B},76000,2016-10-14 00:00,LE10 0XQ,F,N,L,7,"",CLIFTON COURT,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,B,A
{2FD36065-B947-4BF8-E050-A8C0620562B1},125500,2016-03-04 00:00,LE10 2BD,T,N,F,55,"",WOODLAND AVENUE,BURBAGE,HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{404A5AF3-ADFF-CD2B-E050-A8C063055C7B},133500,2016-10-05 00:00,LE11 2LG,T,N,F,17,"",WEAVER CLOSE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{3B7E0B90-1B11-EA99-E050-A8C062057E77},140000,2016-07-28 00:00,LE11 5YT,S,N,F,2,"",FLEMING CLOSE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{3B7E0B90-14F4-EA99-E050-A8C062057E77},129000,2016-07-25 00:00,LE11 3BA,T,N,F,50,"",BURLEIGH ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{3B7E0B90-1707-EA99-E050-A8C062057E77},83000,2016-08-12 00:00,LE18 4LA,T,N,F,9,"",ARNOLD AVENUE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{3B7E0B90-1B1C-EA99-E050-A8C062057E77},110000,2016-08-08 00:00,LE10 1PN,T,N,F,14,"",ALMA ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{3B7E0B90-1B24-EA99-E050-A8C062057E77},149000,2016-07-29 00:00,LE10 0XP,S,N,F,114,"",ROSTON DRIVE,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{3B7E0B90-1724-EA99-E050-A8C062057E77},165000,2016-08-12 00:00,LE18 3SY,T,N,F,19,"",SAXONDALE ROAD,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
